Ep:    70 | Reward:    -3.3 | Avg Reward:    -6.3 | Epsilon: 0.704 | Loss 0.0119 | Steps 3500
Ep:    71 | Reward:    -4.5 | Avg Reward:    -6.3 | Epsilon: 0.701 | Loss 0.0090 | Steps 3550
Ep:    72 | Reward:    -0.3 | Avg Reward:    -6.2 | Epsilon: 0.697 | Loss 0.0078 | Steps 3600
Ep:    73 | Reward:    -6.9 | Avg Reward:    -6.2 | Epsilon: 0.694 | Loss 0.0097 | Steps 3650
Ep:    74 | Reward:    -3.3 | Avg Reward:    -6.1 | Epsilon: 0.690 | Loss 0.0072 | Steps 3700
Ep:    75 | Reward:    -3.3 | Avg Reward:    -6.1 | Epsilon: 0.687 | Loss 0.0056 | Steps 3750
Ep:    76 | Reward:    -5.1 | Avg Reward:    -6.1 | Epsilon: 0.683 | Loss 0.0056 | Steps 3800
Ep:    77 | Reward:    -6.3 | Avg Reward:    -6.1 | Epsilon: 0.680 | Loss 0.0131 | Steps 3850
Ep:    78 | Reward:    -4.5 | Avg Reward:    -6.1 | Epsilon: 0.676 | Loss 0.0107 | Steps 3900
Ep:    79 | Reward:    -6.9 | Avg Reward:    -6.1 | Epsilon: 0.673 | Loss 0.0130 | Steps 3950
Ep:    80 | Reward:    -5.7 | Avg Reward:    -6.1 | Epsilon: 0.670 | Loss 0.0048 | Steps 4000
Ep:    81 | Reward:    -6.3 | Avg Reward:    -6.1 | Epsilon: 0.666 | Loss 0.0046 | Steps 4050
Ep:    82 | Reward:    -7.5 | Avg Reward:    -6.1 | Epsilon: 0.663 | Loss 0.0059 | Steps 4100
Ep:    83 | Reward:    -7.5 | Avg Reward:    -6.1 | Epsilon: 0.660 | Loss 0.0049 | Steps 4150
Ep:    84 | Reward:    -6.3 | Avg Reward:    -6.1 | Epsilon: 0.656 | Loss 0.0043 | Steps 4200
Ep:    85 | Reward:    -6.9 | Avg Reward:    -6.1 | Epsilon: 0.653 | Loss 0.0071 | Steps 4250
Ep:    86 | Reward:    -7.5 | Avg Reward:    -6.1 | Epsilon: 0.650 | Loss 0.0068 | Steps 4300
Ep:    87 | Reward:    -5.7 | Avg Reward:    -6.1 | Epsilon: 0.647 | Loss 0.0074 | Steps 4350
Ep:    88 | Reward:     0.3 | Avg Reward:    -6.1 | Epsilon: 0.643 | Loss 0.0105 | Steps 4400
Ep:    89 | Reward:    -4.5 | Avg Reward:    -6.1 | Epsilon: 0.640 | Loss 0.0069 | Steps 4450
Ep:    90 | Reward:    -2.7 | Avg Reward:    -6.0 | Epsilon: 0.637 | Loss 0.0059 | Steps 4500
Ep:    91 | Reward:    -6.9 | Avg Reward:    -6.0 | Epsilon: 0.634 | Loss 0.0065 | Steps 4550
Ep:    92 | Reward:    -6.3 | Avg Reward:    -6.0 | Epsilon: 0.631 | Loss 0.0085 | Steps 4600
